P1797_RNA_01	P1797_RNA_02	P1797_RNA_03	P1797_RNA_04	P1797_RNA_05	P1797_RNA_06	P1797_RNA_07	P1797_RNA_08	P1797_RNA_09	P1797_RNA_10	P1797_RNA_11	P1797_RNA_12	P1797_RNA_13	P1797_RNA_14	P1797_RNA_15	P1797_RNA_16	P1797_RNA_17	P1797_RNA_18	P1797_RNA_19	P1797_RNA_20	P1797_RNA_21	P1797_RNA_22	P1797_RNA_23	P1797_RNA_24
ENSMUSG00000040415	295	177	190	261	204	299	216	516	290	125	248	130	202	263	272	184	245	150	239	230	374	773	1002	329
ENSMUSG00000101818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000028860	8575	7698	9319	7718	6791	7366	4898	6343	6234	4024	9184	9087	3612	3453	4376	3360	3306	3528	7096	2642	8694	3655	2274	2213
ENSMUSG00000082563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000053483	2782	2600	2866	1686	2042	2234	2019	2380	2086	1582	2175	1758	1434	1779	2153	1676	1383	1274	2338	1135	2469	2009	2226	1348
ENSMUSG00000075380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024446	2142	1955	2265	1236	1655	1708	1714	2025	2163	1939	2386	2003	1845	1772	2107	1336	1604	1093	2134	1319	2364	1727	1981	1873
ENSMUSG00000033629	8473	6407	7311	4239	5486	7574	4267	7621	6757	5598	9988	10286	3424	3825	6148	5046	4521	2407	4397	3646	7338	4706	3577	2507
ENSMUSG00000036880	20908	13454	15421	11960	17072	14270	20308	10704	12799	8480	12152	11254	23240	11916	15785	3185	11486	8794	17998	9149	15043	18863	12465	14993
ENSMUSG00000031129	442	497	519	489	321	378	212	793	458	355	771	463	138	181	232	345	327	162	365	293	544	467	479	312
ENSMUSG00000103078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000009281	63	43	63	238	49	199	36	64	156	147	106	140	101	185	134	31	721	254	670	506	880	547	12187	326
ENSMUSG00000112686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029832	191	105	92	38	64	147	50	127	41	56	122	318	19	11	65	34	34	35	88	28	115	77	142	27
ENSMUSG00000038527	338	648	853	191	95	313	85	278	224	219	748	435	67	299	101	502	94	73	109	63	433	343	483	335
ENSMUSG00000072872	4523	3395	3525	5544	4982	4109	3166	4478	4024	4243	5102	3060	2835	5440	5361	7472	5313	2117	3618	4268	4246	5275	5116	4666
ENSMUSG00000038250	4294	2585	2869	4296	4124	3573	2880	5289	3757	2961	5152	2740	2179	4732	4774	4888	4628	1407	2480	3707	3273	4472	4323	3603
ENSMUSG00000110128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ENSMUSG00000051934	963	962	971	669	1053	889	809	1273	1095	888	938	660	816	939	1110	466	848	561	1017	725	1250	1124	1314	820
ENSMUSG00000029563	139	146	146	108	74	164	33	129	92	28	204	322	35	65	52	234	72	14	81	40	60	101	192	24
ENSMUSG00000022297	651	684	670	397	445	801	493	868	671	319	1126	673	253	478	656	626	315	204	348	276	691	711	442	159
ENSMUSG00000075502	78	71	54	26	51	80	35	108	34	59	75	36	11	49	83	67	15	12	10	15	49	55	46	23
ENSMUSG00000037605	4	5	0	7	6	3	2	12	7	4	10	6	11	14	6	7	8	1	14	10	2	10	258	4
ENSMUSG00000060044	2	5	5	3	8	9	3	4	17	4	10	4	10	29	5	1	13	5	2	1	26	88	119	16
ENSMUSG00000036957	1493	1135	1374	539	889	944	942	1177	847	597	618	553	590	454	878	285	551	321	630	467	692	408	629	464
ENSMUSG00000091504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025224	17325	16865	18543	18260	13799	14564	12733	15937	17759	11538	19966	10930	7282	11988	13562	15806	14098	7288	14788	10592	15505	10529	11248	7328
ENSMUSG00000082755	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1
ENSMUSG00000032717	19	31	27	20	2	23	10	15	28	60	79	14	30	133	114	85	77	129	192	103	216	134	545	206
ENSMUSG00000033016	1879	1449	1641	1160	1659	1628	1332	1348	1449	1100	1761	1177	993	1232	1381	1371	1180	872	1382	984	2153	2801	1603	1550
ENSMUSG00000078810	30	18	25	39	54	58	20	37	4	30	19	29	6	18	18	55	20	7	21	9	18	38	28	9
ENSMUSG00000095524	0	1	0	4	7	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0
ENSMUSG00000046731	255	247	285	151	182	176	211	265	168	219	196	109	142	285	228	155	275	167	296	213	281	362	690	320
ENSMUSG00000100863	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	2	0	0
ENSMUSG00000053129	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020173	8877	8392	9377	13859	11415	9673	11666	8768	4678	3904	5830	6043	5587	6833	6635	8194	8518	3797	7387	6571	6919	8320	7757	6257
ENSMUSG00000033730	27	6	5	40	23	86	21	49	22	30	25	21	6	23	5	56	36	23	16	33	191	315	125	85
ENSMUSG00000009378	546	971	1142	135	240	815	93	447	202	150	1301	841	8	31	62	435	73	26	40	59	155	44	86	12
ENSMUSG00000047094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000024803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1
ENSMUSG00000056260	846	682	744	1413	985	1056	611	931	843	856	1437	893	993	1536	1377	1579	1400	384	539	1162	676	1143	1587	1014
ENSMUSG00000113614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074591	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	7	0	0
ENSMUSG00000028799	1536	1556	1778	890	1122	1499	1218	1083	1048	574	1165	1029	1020	722	1199	379	610	518	828	494	1285	1545	890	562
ENSMUSG00000029761	87	170	213	256	83	154	57	175	191	336	313	117	266	417	172	480	414	126	173	256	336	237	14602	419
ENSMUSG00000095817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000009772	7098	5759	6653	6519	7061	6511	7872	5647	5176	3229	5262	3230	4010	5314	5319	3302	6555	3132	6104	5361	3263	4757	3617	5117
ENSMUSG00000048865	608	243	266	868	463	778	405	755	742	1025	1073	317	661	1638	494	668	1569	738	1227	1166	3219	6247	3412	3336
ENSMUSG00000028998	9646	9081	10202	5239	7559	7942	8305	8193	9019	10439	11777	9875	8023	8045	9866	5999	9227	3850	7898	7224	8694	7331	8208	7408
ENSMUSG00000095643	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
ENSMUSG00000083365	31	29	40	0	38	21	52	0	1	1	0	6	0	2	4	2	3	26	33	10	38	13	4	2
ENSMUSG00000047822	89	181	176	95	135	137	150	76	103	51	148	153	76	73	160	94	54	17	68	55	99	132	82	49
ENSMUSG00000101612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000062694	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	4	1	4	0	0	43	4
ENSMUSG00000001827	136	34	40	33	51	48	81	14	20	30	21	7	71	2	23	11	42	37	34	29	39	32	19	31
ENSMUSG00000107280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074063	4427	3041	3292	3378	3440	2897	3596	2981	3011	2534	3439	2333	1813	2716	2769	4649	3450	1418	2662	2893	2314	1957	4315	3765
ENSMUSG00000003665	1	0	0	25	0	0	0	1	0	2	2	1	2	53	19	3	2	22	77	8	68	14	107	81
ENSMUSG00000068113	1	3	0	2	0	0	2	0	0	0	0	2	0	0	2	2	0	0	0	0	0	0	0	3
ENSMUSG00000030359	0	1	3	0	1	0	1	1	0	0	1	1	0	0	0	0	8	0	3	0	0	166	0	0
ENSMUSG00000112170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000045733	0	1	1	6	0	1	0	0	2	4	0	6	0	2	0	5	0	0	2	0	9	4	28	1
ENSMUSG00000042474	55	11	13	21	1	390	6	5	8	179	28	7	44	39	0	152	73	137	321	48	1544	1551	66	175
ENSMUSG00000021700	171	91	101	109	258	226	229	107	96	80	64	80	258	136	346	59	135	31	27	116	89	267	353	68
ENSMUSG00000020213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025666	4	0	0	7	2	3	0	0	4	8	2	3	12	15	12	3	1	8	6	13	13	11	496	9
ENSMUSG00000096769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000092305	0	1	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	6	2	0	11	6	6	12
ENSMUSG00000034462	836	683	796	808	894	874	619	1100	885	532	953	594	474	855	970	997	676	406	645	507	862	959	1797	382
ENSMUSG00000035575	3415	2934	3337	2229	3049	3820	2773	3856	3842	3859	6124	3255	2310	4037	5438	4835	3146	1163	2145	2652	2935	4011	3776	2394
ENSMUSG00000095970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000032089	133	70	67	214	63	179	79	170	157	342	284	135	371	1509	203	329	485	290	695	328	1682	2260	1321	1174
ENSMUSG00000016559	66866	60588	67459	53467	51076	66525	47221	85698	67639	58570	86722	88416	44559	66817	75214	85091	51189	22077	38137	42219	50859	70859	71607	56794
ENSMUSG00000111915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023393	10480	8043	9000	9403	9386	8049	9333	7546	8262	4848	9361	5723	7387	7298	9850	11278	6569	4456	8631	5587	7037	7704	9327	6089
ENSMUSG00000113021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000022822	1434	659	766	1905	1330	829	1106	928	1190	398	712	413	1140	1243	1497	684	1083	506	897	770	878	2057	2047	1073
ENSMUSG00000069582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069581	18	85	114	15	22	39	31	40	35	13	32	34	10	38	29	36	16	15	34	22	51	29	30	20
ENSMUSG00000024999	1048	1022	1121	630	905	1192	758	1027	1264	1126	2226	1143	738	1587	1999	1681	1109	396	661	750	998	1464	1420	659
ENSMUSG00000028444	6	2	2	2	2	0	0	1	4	3	0	1	0	3	1	0	1	0	6	5	7	1	42	1
ENSMUSG00000025288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031358	3734	3544	3894	3184	3467	4015	2919	4039	4638	4187	6787	4211	2991	4174	5444	3758	4030	1706	2786	2903	3898	4012	3799	3021
ENSMUSG00000074825	378	446	425	103	253	400	279	419	240	202	351	211	154	287	347	282	152	164	249	149	464	509	322	241
ENSMUSG00000036492	1275	940	1026	749	1241	1087	1055	878	940	687	1123	729	651	777	1130	1537	698	477	1005	537	935	1030	1271	700
ENSMUSG00000036480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000100978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000108127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089657	0	0	0	2	0	1	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	2
ENSMUSG00000053593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000092342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073125	119	31	13	285	889	427	0	704	335	84	622	60	423	295	1210	728	412	6	21	334	448	181	846	48
ENSMUSG00000081298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081906	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1
ENSMUSG00000056367	18	3	5	11	5	13	11	8	11	16	6	12	2	10	7	7	18	17	9	4	14	32	48	11
ENSMUSG00000031373	144	170	183	158	56	89	56	184	88	136	144	104	36	57	95	215	125	117	225	118	251	85	223	92
ENSMUSG00000028497	164	282	242	189	247	300	197	277	288	324	607	259	216	442	637	161	347	169	368	250	731	796	1293	806
ENSMUSG00000109664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000038342	15104	12615	14149	12363	13654	11120	11993	14717	9938	6789	10814	6707	5958	8458	8839	7152	8612	5213	10249	6660	10581	12005	10145	5598
ENSMUSG00000048469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076463	187	6	7	23	18	14	21	51	16	23	8	19	22	65	4	2	23	6	2	24	51	119	28	125
ENSMUSG00000032556	8	3	0	1	0	14	0	0	4	38	4	0	4	2	0	14	4	3	31	2	108	92	38	6
ENSMUSG00000029155	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11	1
ENSMUSG00000045708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000064288	39	34	15	30	20	27	38	51	37	10	22	21	13	11	43	33	18	2	5	18	16	11	22	24
ENSMUSG00000051224	253	300	320	430	267	286	257	270	303	159	433	321	300	289	390	296	250	116	195	232	295	413	246	183
ENSMUSG00000060550	3439	2288	2739	3804	2434	4454	2670	5970	5818	4565	2440	2639	3145	3925	4271	5680	5839	2081	3838	5038	5351	9562	13426	8271
ENSMUSG00000100976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
ENSMUSG00000022178	255	214	190	117	187	213	143	151	131	116	139	92	99	153	164	98	87	90	140	115	395	333	324	66
ENSMUSG00000020886	50	61	56	61	62	97	66	94	43	53	38	55	48	107	59	117	74	45	76	37	122	198	430	97
ENSMUSG00000027306	1905	2394	2646	973	1389	2474	1380	3600	1659	3202	3819	2266	459	2112	4336	3195	1555	333	553	1453	1351	2865	2348	983
ENSMUSG00000039760	65	20	10	85	58	118	28	21	30	66	101	21	37	56	23	47	44	23	57	75	110	40	19	65
ENSMUSG00000036686	7507	8038	9228	7889	4963	6476	6189	7260	8435	5696	10044	5539	5115	6223	7549	7640	5509	4203	8082	4723	8073	5045	5811	5790
ENSMUSG00000091879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048520	0	0	0	2	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	7	0	3	3
ENSMUSG00000040627	59	35	53	37	5	122	6	25	27	90	8	18	2	5	12	93	18	8	21	11	136	172	4	4
ENSMUSG00000032518	146515	179335	203276	67030	85418	120187	99726	102006	126195	152257	178435	172909	130369	93151	147546	93948	99670	96746	185627	79165	208549	115021	130225	115971
ENSMUSG00000063021	9	17	16	8	8	5	6	26	6	4	6	18	0	2	11	5	8	1	6	3	19	18	7	2
ENSMUSG00000106016	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000012296	2302	2320	2627	1639	789	1775	812	2249	1638	1154	1704	1258	1046	1632	1870	1783	1073	860	1635	808	1824	1749	1783	1152
ENSMUSG00000096452	8	0	0	3	3	9	0	14	6	29	9	0	47	60	12	8	60	11	16	59	40	244	344	74
ENSMUSG00000100942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ENSMUSG00000094941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021506	111	44	61	7	19	13	18	3	2	8	2	3	26	7	0	4	19	35	47	15	1	15	727	38
ENSMUSG00000110193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000032101	39	44	31	80	63	45	51	83	119	80	117	55	66	56	92	41	55	20	50	76	80	76	64	21
ENSMUSG00000111953	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000091749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048038	37	44	39	44	47	68	27	61	36	12	63	73	16	18	20	51	26	15	45	13	36	49	67	19
ENSMUSG00000043004	269	201	297	348	187	289	183	277	476	791	530	229	288	350	254	547	1042	241	393	899	1323	1464	1755	1386
ENSMUSG00000048232	623	442	589	226	503	537	494	295	363	92	456	272	324	273	394	183	181	133	214	90	301	311	279	186
ENSMUSG00000024277	13842	14539	15597	10971	12400	14006	12514	12145	11717	12254	17268	11360	8622	11452	14613	12158	14487	6728	13018	11426	11564	10440	10372	11145
ENSMUSG00000026311	494	458	531	406	428	412	328	768	475	283	438	338	260	393	383	693	367	197	373	303	676	678	550	324
ENSMUSG00000095204	8	0	11	14	9	11	5	10	6	39	12	3	87	71	9	2	64	19	16	21	103	332	981	117
ENSMUSG00000025991	2301	1901	1993	175	590	1625	448	757	253	392	1368	2105	178	66	20	819	205	87	107	147	679	140	25	204
ENSMUSG00000028757	46265	53879	62948	27929	30602	39795	29301	32724	41298	36069	61822	45009	18116	21586	37159	32618	26503	18119	38005	21711	42710	20263	23265	18212
ENSMUSG00000020447	35	21	15	56	57	26	47	20	34	19	11	10	4	18	8	7	16	11	37	8	34	49	28	12
ENSMUSG00000082380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069583	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ENSMUSG00000068814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000108348	11	9	7	19	14	28	31	23	25	2	4	5	6	9	10	17	39	19	16	33	37	59	30	19
ENSMUSG00000040866	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0	1	0
ENSMUSG00000114579	0	0	1	0	0	2	0	1	3	4	0	0	0	0	0	1	0	0	0	0	0	0	1	0
ENSMUSG00000059585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000005696	56	6	5	26	11	21	6	15	22	40	36	14	14	13	7	5	38	9	20	45	45	152	71	81
ENSMUSG00000090258	4168	4069	4702	2578	3463	3521	3694	3831	4356	4912	4644	5012	4238	3586	4777	3136	4258	2106	4386	3264	4698	3386	4521	3227
ENSMUSG00000005470	2394	3790	4172	581	988	2245	1285	2767	1558	2243	2618	1482	481	1909	2641	2143	925	592	1055	865	1585	2065	1512	765
ENSMUSG00000026478	704	396	520	747	577	475	581	232	445	203	339	241	503	1372	735	294	529	493	834	402	1345	1771	5397	863
ENSMUSG00000096380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000091149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001285	3295	3218	3783	1577	1855	2866	2141	2808	2691	2835	3871	2811	2083	1984	2938	2388	1737	1433	3144	1484	3280	2121	2229	1829
ENSMUSG00000068245	3812	1482	1517	4265	4946	6017	6775	3912	4316	2483	4249	4502	6025	7642	6506	2302	3711	627	971	2577	965	2701	3134	1925
ENSMUSG00000024985	7031	7045	7759	12950	5627	6091	5353	7249	7061	5515	6758	4611	3177	5528	6247	9858	8755	4414	7074	6894	6200	5194	5415	6557
ENSMUSG00000099444	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000037062	13847	11987	12926	14193	13378	13741	11434	13186	15866	17004	24295	16800	13705	16966	19546	18288	19636	7756	12613	15525	15241	15179	19097	17102
ENSMUSG00000099383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000066510	0	1	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	1
ENSMUSG00000075127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000109435	0	1	0	1	2	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000078870	186	74	173	267	108	227	93	272	198	110	425	280	156	318	208	291	0	55	53	30	53	13	226	0
ENSMUSG00000074305	3533	2951	3324	3607	3259	2864	2806	3186	3515	1878	3081	2130	1629	2627	2575	2226	2810	1116	2235	1976	2320	2698	2977	1231
ENSMUSG00000030246	252	143	162	136	358	293	394	125	167	86	235	164	493	433	697	18	221	116	276	189	296	737	1748	224
ENSMUSG00000061559	4100	3534	4083	2200	3175	3419	3043	3933	4173	4005	6156	4486	2678	3613	4718	3504	3713	1091	2486	2653	3419	3635	3691	2441
ENSMUSG00000095074	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	8	0
ENSMUSG00000061847	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000037339	3312	2726	3139	1825	2479	2656	2293	2501	2495	1774	2828	2184	1788	1945	2444	1651	1552	1354	2395	1306	2450	2264	2196	1399
ENSMUSG00000045273	428	490	637	155	187	511	268	748	393	561	643	412	109	535	697	578	294	126	200	214	409	712	428	239
ENSMUSG00000036095	0	0	0	0	2	0	0	0	2	0	0	0	0	0	7	0	0	0	0	0	0	0	34	1
ENSMUSG00000082989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000030492	685	914	1044	2555	567	365	957	1654	526	577	807	373	582	903	562	1216	1577	590	1074	1258	780	1089	856	1085
ENSMUSG00000041671	2433	1870	2148	4927	2275	2506	2373	4769	3237	2994	5172	2384	2361	3499	3463	4040	5276	1329	2598	3975	2707	3862	3832	3914
ENSMUSG00000047161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049164	1802	1799	1820	2470	1900	2144	1256	2182	1028	1452	3331	1469	1547	2931	3082	3651	2614	438	660	2073	1357	1404	2120	1527
ENSMUSG00000021977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000109188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000028957	809	480	548	1013	1230	943	785	711	606	125	681	1570	442	1924	437	1638	866	189	411	603	378	1010	1252	480
ENSMUSG00000029491	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000040838	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
ENSMUSG00000080877	5	1	1	1	3	5	6	2	11	5	3	6	2	0	3	6	5	15	20	11	6	3	3	2
ENSMUSG00000100825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000044550	19	8	7	11	18	17	16	8	20	13	10	8	9	18	8	12	24	9	10	15	17	38	123	16
ENSMUSG00000042607	19	19	10	23	26	9	40	4	4	3	5	4	32	14	21	1	11	1	7	25	23	24	57	26
ENSMUSG00000094105	0	0	0	0	0	0	0	0	4	0	0	0	0	5	0	2	0	0	4	3	0	4	7	0
ENSMUSG00000028622	6534	7544	9101	3479	4075	4943	4582	5301	6509	5847	7124	5581	3565	4269	6982	4973	3581	2782	5722	3051	5601	4397	4212	2974
ENSMUSG00000035455	736	1109	1203	269	376	1025	471	886	666	842	1395	586	207	1035	1431	1228	463	185	294	394	647	1009	594	301
ENSMUSG00000025945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000028749	5083	8199	9286	2510	4762	6929	3395	6585	4895	3409	12522	7197	409	1395	1521	5547	2360	3057	6563	1819	8219	1077	810	1062
ENSMUSG00000047635	1021	944	1077	660	784	891	813	768	964	895	1333	984	728	839	1181	654	758	438	738	607	949	831	892	595
ENSMUSG00000032840	1713	1336	1393	878	1508	1338	1177	1397	1211	844	1310	1169	982	1299	1354	1172	982	540	1068	784	1224	1236	1249	742
ENSMUSG00000073879	0	0	0	3	0	0	2	5	1	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000038963	1095	513	617	408	865	646	687	929	795	458	683	455	293	727	705	371	400	335	646	298	562	821	874	261
ENSMUSG00000030500	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0
ENSMUSG00000033688	8	3	6	1	4	2	4	2	2	10	0	4	0	1	0	2	0	2	0	0	4	13	1	2
ENSMUSG00000039456	2548	2056	2165	3627	2758	3653	2700	3297	3434	2754	4724	3080	2474	5636	4595	5698	3415	1070	1881	2583	2725	4048	5041	2918
ENSMUSG00000038248	140	73	95	199	238	144	220	100	224	72	123	100	273	600	409	15	305	51	91	219	105	234	287	166
ENSMUSG00000028221	2172	1992	2098	1613	1666	1840	1403	1898	2046	2066	3306	2379	1520	1943	2801	2974	1961	1223	1754	1676	2536	2065	2310	1566
